raw_name,taxon_name,level_1
Abies,abies,Abies
Acacia,acacia,Acacia
Acanthus,acanthus,Acanthaceae
Acer,acer,Acer
Aconitum group,aconitum_group,Aconitum
Actaea,actaea,Actaea
Adonis,adonis,Adonis
Adonis-type,adonis_type,Adonis
Adonis aestivalis,adonis_aestivalis,Adonis
Adonis aestivalis-type,adonis_aestivalis_type,Adonis
Aellenia-type,aellenia_type,Amaranthaceae/Chenopodiaceae
Aesculus,aesculus,Aesculus
Agrimonia,agrimonia,Agrimonia/Aremonia
Alchemilla-group,alchemilla_minus_group,Alchemilla/Aphanes
Alchemilla-type,alchemilla_type,Alchemilla/Aphanes
Alhagi,alhagi,Genista-type
Alisma,alisma,delete
Allium,allium,Liliaceae-type
Allium-type,allium_type,Liliaceae-type
Allium vineale-type,allium_vineale_type,Liliaceae-type
Alnus,alnus,Alnus
Amaranthaceae,amaranthaceae,Amaranthaceae/Chenopodiaceae
Anagallis,anagallis,Anagallis-type
Anagallis-type,anagallis_type,Anagallis-type
Anchusa-type,anchusa_type,Boraginaceae
Anchusa/Pulmonaria,anchusa_pulmonaria,Boraginaceae
Androsace,androsace,Androsace
Androsace-type,androsace_type,Androsace
Anemone,anemone,Ranunculus-type
Anemone coronaria,anemone_coronaria,Anemone coronaria
Anisosciadium-type,anisosciadium_type,Apiaceae
Anthericum-type,anthericum_type,Liliaceae-type
Anthriscus-type,anthriscus_type,Apiaceae
Antirrhinum/Linaria,antirrhinum_linaria,Scrophulariaceae (colporate-reticulate)
Apiaceae,apiaceae,Apiaceae
Apium-type,apium_type,Apiaceae
Aquilegia-type,aquilegia_type,Caltha-type
Araceae,araceae,Araceae
Arboreal pollen,arboreal_pollen,delete
Arbutus,arbutus,Ericales (tetrads)
Arceuthobium oxycedri,arceuthobium_oxycedri,Arceuthobium oxycedri
Arctium/Jurinea,arctium_jurinea,Cynareae
Aristolochia,aristolochia,Aristolochiaceae
Armeria/Limonium,armeria_limonium,Plumbaginaceae
Artemisia,artemisia,Artemisia
Artemisia herba-alba-type,artemisia_herba_minus_alba_type,Artemisia
Artemisia vulgaris,artemisia_vulgaris,Artemisia
Artemisia vulgaris-type,artemisia_vulgaris_type,Artemisia
Arum,arum,Arum
Aruncus,aruncus,Aruncus/Spiraea
Asparagus-type,asparagus_type,Liliaceae-type
Asperula-type,asperula_type,Rubiaceae
Asphodeline,asphodeline,Liliaceae-type
Asphodelus,asphodelus,Liliaceae-type
Asphodelus albus-type,asphodelus_albus_type,Liliaceae-type
Asteraceae,asteraceae,Asteraceae
Asteroideae,asteroideae,Compositae subfam. Asteroideae
Astragalus-type,astragalus_type,Astragalus-type
Atractylis-type,atractylis_type,Compositae subfam. Asteroideae
Atraphaxis,atraphaxis,Atraphaxis
Atraphaxis-type,atraphaxis_type,Atraphaxis
Atriplex-type,atriplex_type,Amaranthaceae/Chenopodiaceae
Atropa,atropa,Atropa-type
Ballota-type,ballota_type,Galeopsis/Ballota-type
Bellis-type,bellis_type,Compositae subfam. Asteroideae
Berberidaceae,berberidaceae,Berberidaceae
Berberis,berberis,Berberidaceae
Beta,beta,Amaranthaceae/Chenopodiaceae
Beta-type,beta_type,Amaranthaceae/Chenopodiaceae
Betula,betula,Betula
Bidens-type,bidens_type,Compositae subfam. Asteroideae
Bilderdykia convolvulus-type,bilderdykia_convolvulus_type,Polygonum-type (tricolporate)
Bistorta officinalis-type,bistorta_officinalis_type,Polygonum-type (tricolporate)
Blackstonia-type,blackstonia_type,Gentianaceae
Bongardia,bongardia,Bongardia
Boraginaceae,boraginaceae,Boraginaceae
Botrychium,botrychium,delete
Brassica-type,brassica_type,Brassicaceae
Brassicaceae,brassicaceae,Brassicaceae
Bryonia,bryonia,Bryonia
Bryonia-type,bryonia_type,Bryonia
Bunium-type,bunium_type,Apiaceae
Bupleurum-type,bupleurum_type,Apiaceae
Butomus umbellatus,butomus_umbellatus,delete
Buxus,buxus,Buxus
Calendula,calendula,Compositae subfam. Asteroideae
Calligonum,calligonum,Calligonum-type
Calligonum/Pteropyrum-type,calligonum_pteropyrum_type,Calligonum-type
Calluna-type,calluna_type,Ericales (tetrads)
Caltha-type,caltha_type,Caltha-type
Calystegia,calystegia,Calystegia
Campanula-type,campanula_type,Campanulaceae
Campanulaceae,campanulaceae,Campanulaceae
Cannabaceae,cannabaceae,Cannabis/Humulus
Cannabis,cannabis,Cannabis/Humulus
Cannabis/Humulus,cannabis_humulus,Cannabis/Humulus
Capparaceae,capparaceae,Capparidaceae
Caprifoliaceae subf. Dipsacoideae undiff.,caprifoliaceae_subf_dipsacoideae_undiff,Dipsacaceae
Capsella-type,capsella_type,Brassicaceae
Carduus-type,carduus_type,Cynareae
Carpinus,carpinus,Carpinus betulus
Carpinus betulus,carpinus_betulus,Carpinus betulus
Carpinus betulus/Ostrya-type,carpinus_betulus_ostrya_type,Carpinus betulus
Carthamus,carthamus,Cynareae
Carthamus-type,carthamus_type,Cynareae
Carya,carya,Carya
Caryophyllaceae,caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae)
Castanea,castanea,Castanea sativa
Casuarina,casuarina,Casuarina
Cedrus,cedrus,Cedrus
Celtis,celtis,Celtis
Centaurea,centaurea,Centaurea
Centaurea cyanus-type,centaurea_cyanus_type,Centaurea cyanus-type
Centaurea jacea-type,centaurea_jacea_type,Centaurea nigra-type
Centaurea scabiosa-type,centaurea_scabiosa_type,Centaurea scabiosa-type
Centaurea solstitialis-type,centaurea_solstitialis_type,Centaurea nigra-type
Centaurium-type,centaurium_type,Gentianaceae
Centranthus,centranthus,Valerianaceae
Cephalaria,cephalaria,Dipsacaceae
Cerastium-type,cerastium_type,Caryophyllaceae (periporate excl. Paronychioideae)
Ceratocephalus,ceratocephalus,Ranunculus-type
Ceratocephalus-type,ceratocephalus_type,Ranunculus-type
Ceratonia,ceratonia,Ceratonia siliqua
Ceratonia siliqua,ceratonia_siliqua,Ceratonia siliqua
Cercis siliquastrum,cercis_siliquastrum,Cercis siliquastrum
Cerealia-type,cerealia_type,Poaceae
Cerinthe-type,cerinthe_type,Boraginaceae
cf Prosopis,cf_prosopis,delete
cf. Abies,cf_abies,cf. Abies
cf. Acantholimon,cf_acantholimon,Plumbaginaceae
cf. Aconitum,cf_aconitum,delete
cf. Adonis,cf_adonis,delete
cf. Astragalus-type,cf_astragalus_type,delete
cf. Carya,cf_carya,delete
cf. Caucalis,cf_caucalis,Apiaceae
cf. Cruciferae,cf_cruciferae,delete
cf. Isoetes,cf_isoetes,delete
cf. Loranthaceae,cf_loranthaceae,delete
cf. Papaveraceae,cf_papaveraceae,delete
cf. Phillyrea,cf_phillyrea,delete
cf. Plantago,cf_plantago,delete
cf. Populus,cf_populus,delete
cf. Pterocarya fraxinifolia,cf_pterocarya_fraxinifolia,delete
cf. Ranunculaceae,cf_ranunculaceae,delete
cf. Rhus,cf_rhus,delete
cf. Thymelaeaceae,cf_thymelaeaceae,delete
Chardinia,chardinia,Cynareae
Chardinia/Onopordum,chardinia_onopordum,Cynareae
Cheilanthes,cheilanthes,delete
Chelidonium,chelidonium,Chelidonium majus
Chenopodiaceae,chenopodiaceae,Amaranthaceae/Chenopodiaceae
Chenopodium/Thalictrum,chenopodium_thalictrum,Amaranthaceae/Chenopodiaceae
Chrozophora,chrozophora,Chrozophora-type
Chrysosplenium,chrysosplenium,Chrysosplenium
Cichorioideae,cichorioideae,Compositae subfam. Cichorioideae
Cirsium-type,cirsium_type,Cynareae
Cirsium/Gundelia,cirsium_gundelia,Cynareae
Cistus,cistus,Cistus
Cistus-type,cistus_type,Cistus
Cladium mariscus,cladium_mariscus,delete
Clematis-type,clematis_type,Ranunculus-type
Cnicus,cnicus,Cynareae
Colchicum,colchicum,Liliaceae-type
Colchicum/Merendera,colchicum_merendera,Liliaceae-type
Colutea,colutea,Astragalus-type
Combretaceae,combretaceae,Combretaceae
Commiphora,commiphora,Commiphora
Consolida,consolida,Consolida-type
Convolvulaceae,convolvulaceae,Convolvulus
Convolvulus,convolvulus,Convolvulus
Convolvulus arvensis-type,convolvulus_arvensis_type,Convolvulus
Cornus,cornus,Cornus
Cornus mas,cornus_mas,Cornus
corylus,corylus,Corylus/Myrica
Cotinus coggygria,cotinus_coggygria,Rhus/Cotinus
Cotoneaster,cotoneaster,Rosaceae (non-operculate)
Cousinia,cousinia,Cynareae
Crassulaceae,crassulaceae,Crassulaceae
Crataegus,crataegus,Rosaceae (non-operculate)
Crataegus-type,crataegus_type,Rosaceae (non-operculate)
Crepis-type,crepis_type,Compositae subfam. Cichorioideae
Cruciferae,cruciferae,Brassicaceae
Crupina,crupina,Cynareae
Cryptogramma crispa,cryptogramma_crispa,delete
Cucumis,cucumis,Cucumis
Cucurbitaceae,cucurbitaceae,Cucurbitaceae
Cupressaceae,cupressaceae,Juniperus-type
Cuscuta,cuscuta,Cuscuta
Cyclamen,cyclamen,Cyclamen
Cynoglossum,cynoglossum,Cynoglossum-type
