raw_name,taxon_name,level_1
Ab<U+983C><U+959F>,ab_smaller_than_u_plus_983c_bigger_than_smaller_than_u_plus_959f_bigger_than,Abies
Abies,abies,Abies
Abies+Picea,abies_plus_picea,Pinaceae
Acacia,acacia,Fabaceae (tree)
Acalypha,acalypha,Acalypha-type
Acalypha-type,acalypha_type,Acalypha-type
Acanthaceae,acanthaceae,Acanthaceae
Accu.model..a,accu_model_a,delete
Acer,acer,Acer
Acer campestre-type,acer_campestre_type,Acer
Achillea-type,achillea_type,Asteraceae Asteroideae
Aconitum,aconitum,Ranunculaceae
Aconitum-type,aconitum_type,Ranunculaceae
Aconitum napellus-type,aconitum_napellus_type,Ranunculaceae
Aconogonon,aconogonon,Polygonum
Actinidia,actinidia,Actinidia
Actinostemma,actinostemma,Cucurbitaceae
Adenophora,adenophora,Campanulaceae
Adonis-type,adonis_type,Ranunculaceae
Aegopodium podagraria,aegopodium_podagraria,Apiaceae undifferentiated
Aerva-type,aerva_type,Amaranthaceae/Chenopodiaceae
Aesculus,aesculus,Aesculus
Aesculus hippocastanum,aesculus_hippocastanum,Aesculus
Aesculus undifferentiated,aesculus_undifferentiated,Aesculus
age_kyr,age_kyr,delete
Aglaia,aglaia,Meliaceae
Ailanthus,ailanthus,Ailanthus
Aizoaceae,aizoaceae,Aizoaceae
Alangium,alangium,Alangium
Albizia,albizia,Fabaceae (tree)
Alchemilla,alchemilla,Alchemilla-type
Alchemilla-type,alchemilla_type,Alchemilla-type
Alchornea,alchornea,Euphorbiaceae (tropical)
Alchornea-type,alchornea_type,Euphorbiaceae (tropical)
Algae,algae,delete
Algenspore,algenspore,delete
Alhagi,alhagi,Fabaceae
Alisma,alisma,delete
Alisma-type,alisma_type,delete
Alismataceae,alismataceae,delete
Alismataceae t.,alismataceae_t,delete
Alliaceae,alliaceae,Liliaceae s. l.
Allium,allium,Liliaceae s. l.
Allium-type,allium_type,Liliaceae s. l.
Allium ursinum-type,allium_ursinum_type,Liliaceae s. l.
Allophyllus,allophyllus,Sapindaceae
Alnus,alnus,Alnus undifferentiated
Alnus (Baum),alnus_baum,Alnus undifferentiated
Alnus (Strauch),alnus_strauch,Alnus undifferentiated
Alnus fruticosa-type,alnus_fruticosa_type,"Alnus, shrub"
Alnus glutinosa,alnus_glutinosa,Alnus undifferentiated
Alnus glutinosa-type,alnus_glutinosa_type,Alnus undifferentiated
Alnus nepalensis,alnus_nepalensis,Alnus undifferentiated
Alnus sp.,alnus_sp,Alnus undifferentiated
Alnus subg. Alnobetula,alnus_subg_alnobetula,Alnus undifferentiated
Alnus undif.,alnus_undif,Alnus undifferentiated
Alnus undiff.,alnus_undiff,Alnus undifferentiated
Alnus undifferentiated,alnus_undifferentiated,Alnus undifferentiated
Alnus viridis,alnus_viridis,"Alnus, shrub"
Alnus viridis-type,alnus_viridis_type,"Alnus, shrub"
Alstonia,alstonia,Apocynaceae
Alternanthera-type,alternanthera_type,Amaranthaceae/Chenopodiaceae
Altingia,altingia,Hamamelidaceae
Aluns,aluns,Alnus undifferentiated
Amaranthaceae,amaranthaceae,Amaranthaceae/Chenopodiaceae
Amaranthaceae-type,amaranthaceae_type,Amaranthaceae/Chenopodiaceae
Amaranthus,amaranthus,Amaranthaceae/Chenopodiaceae
Ambrosia,ambrosia,Ambrosia-type
Ambrosia-type,ambrosia_type,Ambrosia-type
Amphitrema,amphitrema,delete
Anabasis,anabasis,Amaranthaceae/Chenopodiaceae
Anacaediaceae,anacaediaceae,Anacardiaceae
Anacardiaceae,anacardiaceae,Anacardiaceae
Anagallis-type,anagallis_type,Anagallis-type
Anaphalis.Blumea.Senecio,anaphalis_blumea_senecio,Asteraceae Asteroideae
Androsace,androsace,Primulaceae
Androsaceae,androsaceae,Primulaceae
Anemone-type,anemone_type,Ranunculaceae
Anemone nemorosa-type,anemone_nemorosa_type,Ranunculaceae
Anemone sect. Pulsatilla,anemone_sect_pulsatilla,Ranunculaceae
Anemone.Ranunculus,anemone_ranunculus,Ranunculaceae
Anemone/Clematis-type,anemone_clematis_type,Ranunculaceae
Angelica archangelica-type,angelica_archangelica_type,Angelica-type
Angelica palustris-type,angelica_palustris_type,Angelica-type
Angiosperm wood tissue fragments,angiosperm_wood_tissue_fragments,delete
Angiospermae undiff. (herbs),angiospermae_undiff_herbs,delete
Anthemis,anthemis,Asteraceae Asteroideae
Anthemis-type,anthemis_type,Asteraceae Asteroideae
Anthericum,anthericum,Liliaceae s. l.
Anthoceros-type,anthoceros_type,delete
Anthocerotaceae,anthocerotaceae,delete
Anthriscus cerefolium,anthriscus_cerefolium,Apiaceae undifferentiated
Anthriscus sylvestris-type,anthriscus_sylvestris_type,Apiaceae undifferentiated
Anthyllis,anthyllis,Fabaceae
Antidesma,antidesma,Phyllanthaceae
Apatite,apatite,delete
Aphanamixis,aphanamixis,Meliaceae
Aphanamixis-type,aphanamixis_type,Meliaceae
Apiaceae,apiaceae,Apiaceae undifferentiated
Apiaceae (Bupleurum-Typ),apiaceae_bupleurum_minus_typ,Apiaceae undifferentiated
Apiaceae undiff,apiaceae_undiff,Apiaceae undifferentiated
Apiaceae undifferentiated,apiaceae_undifferentiated,Apiaceae undifferentiated
Apium,apium,Apiaceae undifferentiated
Apocynaceae,apocynaceae,Apocynaceae
Apodytes,apodytes,Apodytes
Aporosa,aporosa,Euphorbiaceae (tropical)
Aquatic,aquatic,delete
aquatics,aquatics,delete
Aqulegia,aqulegia,Ranunculaceae
Araceae,araceae,Araceae
Aralia,aralia,Araliaceae
Araliaceae,araliaceae,Araliaceae
Araliaceae undiff.,araliaceae_undiff,Araliaceae
Arceuthobium,arceuthobium,Arceuthobium
Arctium,arctium,Asteraceae Carduoideae
Ardisea,ardisea,Myrsinaceae
Arecaceae,arecaceae,Arecaceae
Arecaceae undiff,arecaceae_undiff,Arecaceae
Arenaria,arenaria,Caryophyllaceae
Arenaria/Minuartia-type,arenaria_minuartia_type,Caryophyllaceae
Arisaema/other-types,arisaema_other_types,Araceae
Armeria,armeria,Plumbaginaceae
Armeria-type,armeria_type,Plumbaginaceae
Artemisia,artemisia,Artemisia
Artemisia-type,artemisia_type,Artemisia
Artemisia.parviflora,artemisia_parviflora,Artemisia
Artemisia/Chenopodiaceae index,artemisia_chenopodiaceae_index,delete
Aruncus-type,aruncus_type,Spiraea-type
Asplenium,asplenium,delete
Asplenium-type,asplenium_type,delete
Assulina muscorum,assulina_muscorum,delete
Assulina seminulum,assulina_seminulum,delete
Aster,aster,Asteraceae Asteroideae
Aster-type,aster_type,Asteraceae Asteroideae
Aster/Gnaphalium-type,aster_gnaphalium_type,Asteraceae Asteroideae
Asteraceae,asteraceae,Asteraceae undifferentiated
Asteraceae (Liguliflorae),asteraceae_liguliflorae,Asteraceae Cichorioideae
Asteraceae (Matricaria-Typ),asteraceae_matricaria_minus_typ,Asteraceae Asteroideae
Asteraceae (Saussurea-Typ),asteraceae_saussurea_minus_typ,Asteraceae Carduoideae
Asteraceae (Senecio-Typ),asteraceae_senecio_minus_typ,Asteraceae Asteroideae
Asteraceae (Tubuliflorae),asteraceae_tubuliflorae,Asteraceae Asteroideae
Asteraceae (undiff.),asteraceae_undiff,Asteraceae undifferentiated
Asteraceae pp,asteraceae_pp,Asteraceae undifferentiated
Asteraceae undif.,asteraceae_undif,Asteraceae undifferentiated
Asterceae,asterceae,Asteraceae undifferentiated
Asteroideae,asteroideae,Asteraceae Asteroideae
Asteroideae undiff.,asteroideae_undiff,Asteraceae undifferentiated
Astragalus,astragalus,Fabaceae
Astragalus-type,astragalus_type,Fabaceae
Astragalus alpinus-type,astragalus_alpinus_type,Fabaceae
Astragalus onobrychis-type,astragalus_onobrychis_type,Fabaceae
Astragalus/Oxytropis-type,astragalus_oxytropis_type,Fabaceae
Astrantia-type,astrantia_type,Apiaceae undifferentiated
Astrantia major-type,astrantia_major_type,Apiaceae undifferentiated
Atalantia,atalantia,Rutaceae
Athraphaxis(Atraphaxis?),athraphaxis_atraphaxis,Polygonaceae undiffrentiated
Athyrium,athyrium,delete
Athyrium distentifolium-type,athyrium_distentifolium_type,delete
Athyrium filix-femina,athyrium_filix_minus_femina,delete
Athyrium filix-femina-type,athyrium_filix_minus_femina_type,delete
Atraphaxis,atraphaxis,Polygonaceae undiffrentiated
Aulacoseira granulata,aulacoseira_granulata,delete
Aulacoseira sp.,aulacoseira_sp,delete
Avena/Triticum group,avena_triticum_group,Cerealia
Baccaurea,baccaurea,Euphorbiaceae (tropical)
Baccaurea-type,baccaurea_type,Euphorbiaceae (tropical)
Ballota-type,ballota_type,Lamiaceae
Bartsia-type,bartsia_type,Scrophulariaceae s. l.
Bentinckia,bentinckia,Arecaceae
Berberidaceae,berberidaceae,Berberidaceae
Berberis,berberis,Berberidaceae
Bergenia,bergenia,Saxifragaceae
Bergenia-type,bergenia_type,Saxifragaceae
Betula,betula,Betula undifferentiated
Betula (Baum),betula_baum,Betula undifferentiated
Betula (Strauch),betula_strauch,Betula undifferentiated
Betula alnoides-type,betula_alnoides_type,"Betula, tree"
Betula nana-type,betula_nana_type,"Betula, shrub"
Betula potaninii,betula_potaninii,"Betula, shrub"
Betula pubescens-type,betula_pubescens_type,"Betula, tree"
Betula sect. Albae,betula_sect_albae,"Betula, tree"
Betula sect. Apterocaryon,betula_sect_apterocaryon,Betula undifferentiated
Betula sect. Betula,betula_sect_betula,"Betula, tree"
Betula sect. Nanae,betula_sect_nanae,"Betula, shrub"
Betula subg. Betula,betula_subg_betula,Betula undifferentiated
Betula type I,betula_type_i,Betula undifferentiated
Betula type II,betula_type_ii,Betula undifferentiated
Betula undif.,betula_undif,Betula undifferentiated
Betula undiff.,betula_undiff,Betula undifferentiated
Betula undifferentiated,betula_undifferentiated,Betula undifferentiated
Betula utilis-type,betula_utilis_type,"Betula, tree"
Betulaceae,betulaceae,Betula undifferentiated
Bhesa,bhesa,Celastraceae
Bidens-type,bidens_type,Asteraceae Asteroideae
Biebersteinia,biebersteinia,Biebersteinia
Bignoniaceae,bignoniaceae,Bignoniaceae
Bignoniaceae undiff.,bignoniaceae_undiff,Bignoniaceae
Bigoniaceae undiff,bigoniaceae_undiff,Bignoniaceae
Bischofia,bischofia,Phyllanthaceae
Bistorta,bistorta,Bistorta-type
Bistorta-type,bistorta_type,Bistorta-type
Bistorta officinalis,bistorta_officinalis,Bistorta-type
Bistorta officinalis-type,bistorta_officinalis_type,Bistorta-type
Bistorta vivipara,bistorta_vivipara,Bistorta-type
Blechnum spicant,blechnum_spicant,delete
Blepharistomma,blepharistomma,delete
Bombax,bombax,Bombax
Bombax-type,bombax_type,Bombax
Boraginaceae,boraginaceae,Boraginaceae
Boraginaceae undifferentiated,boraginaceae_undifferentiated,Boraginaceae
Borreria,borreria,Rubiaceae
Botrychium,botrychium,delete
Botrychium lunaria-type,botrychium_lunaria_type,delete
Botryococcus,botryococcus,delete
Botryococcus braunii,botryococcus_braunii,delete
Brasenia,brasenia,delete
Brass/Biscutella 323/1,brass_biscutella_323_1,Brassicaceae
Brassica-Hornungia type,brassica_minus_hornungia_type,Brassicaceae
Brassicaceae,brassicaceae,Brassicaceae
Brassicaceae pp,brassicaceae_pp,Brassicaceae
Breynia,breynia,Breynia
Bridelia,bridelia,Bridelia
Broussonetia,broussonetia,Broussonetia
Bryales,bryales,delete
Bupleurum,bupleurum,Apiaceae undifferentiated
Bupleurum-type,bupleurum_type,Apiaceae undifferentiated
Bupleurum/Pleurospermum-type,bupleurum_pleurospermum_type,Apiaceae undifferentiated
Buxus,buxus,Buxus
Caesalpania,caesalpania,Fabaceae (tree)
Calamus,calamus,Arecaceae
Calendula,calendula,Asteraceae Asteroideae
Callicarpa,callicarpa,Verbenaceae
Calligonum,calligonum,Polygonaceae undiffrentiated
Callitriche palustris-type,callitriche_palustris_type,delete
Calluna vulgaris,calluna_vulgaris,Calluna
Calophyllum inophyllum,calophyllum_inophyllum,Calophyllaceae
Calophyllum pulcherinum,calophyllum_pulcherinum,Calophyllaceae
Caltha-type,caltha_type,Ranunculaceae
Caltha/Aquilegia-type,caltha_aquilegia_type,Ranunculaceae
Caltha/Isopyrum-type,caltha_isopyrum_type,Ranunculaceae
Camellia,camellia,Camellia
Campanula,campanula,Campanulaceae
Campanula-type,campanula_type,Campanulaceae
Campanula trachelium-type,campanula_trachelium_type,Campanulaceae
Campanulaceae,campanulaceae,Campanulaceae
Campanulaceae undiff.,campanulaceae_undiff,Campanulaceae
Campanumoea,campanumoea,Campanulaceae
Canarium,canarium,Burseraceae type
Cannabaceae,cannabaceae,Humulus/Cannabis
Cannabis,cannabis,Humulus/Cannabis
Cannabis-type,cannabis_type,Humulus/Cannabis
Cannabis sativa,cannabis_sativa,Humulus/Cannabis
Canthium,canthium,Rubiaceae
Capparis,capparis,Capparidaceae
Caprifoliaceae,caprifoliaceae,Caprifoliaceae undiffrentiated
Caprifoliaceae subf. Dipsacoideae,caprifoliaceae_subf_dipsacoideae,Caprifoliaceae subf. Dipsacoideae
Caprifoliaceae subf. Valerianoideae,caprifoliaceae_subf_valerianoideae,Caprifoliaceae subf. Valerianoideae
Caprifoliaceae undiff.,caprifoliaceae_undiff,Caprifoliaceae undiffrentiated
Caragana,caragana,Fabaceae
Caragana-type,caragana_type,Fabaceae
"Carbon, organic, total",carbon_organic_total,delete
Carbonates,carbonates,delete
Cardiospernum,cardiospernum,Sapindaceae
Carduoideae,carduoideae,Asteraceae Carduoideae
Carduoideae undiff.,carduoideae_undiff,Asteraceae Carduoideae
Carduus,carduus,Asteraceae Carduoideae
Carelia,carelia,delete
Carex,carex,Cyperaceae
Carex-type,carex_type,Cyperaceae
Careya,careya,Careya/Barringtonia
Carpinus,carpinus,Carpinus
Carpinus-type,carpinus_type,Carpinus
Carpinus betulus,carpinus_betulus,Carpinus
Carpinus betulus-type,carpinus_betulus_type,Carpinus
Carpinus cordata-type,carpinus_cordata_type,Carpinus
Carpinus tschonoskii,carpinus_tschonoskii,Carpinus
Carpinus undifferentiated,carpinus_undifferentiated,Carpinus
Carpinus viminea-type,carpinus_viminea_type,Carpinus
Carya,carya,Carya
"Carya, reworked",carya_reworked,Carya
Caryophyllaceae,caryophyllaceae,Caryophyllaceae
Caryophyllaceae subf. Silenoideae-type,caryophyllaceae_subf_silenoideae_type,Caryophyllaceae
Caryophyllaceae undiff.,caryophyllaceae_undiff,Caryophyllaceae
Caryophyllaceae undifferentiated,caryophyllaceae_undifferentiated,Caryophyllaceae
Caryopyllaceae,caryopyllaceae,Caryophyllaceae
Caryota,caryota,Arecaceae
Casearia,casearia,Flacourtiaceae
Cassea,cassea,Fabaceae (tree)
Cassiope,cassiope,Ericaceae
Castanea,castanea,Castanea-type
Castanea-type,castanea_type,Castanea-type
Castanea sativa,castanea_sativa,Castanea-type
Castanea/Castanopsis,castanea_castanopsis,Castanea-type
Castanopsis,castanopsis,Castanea-type
Castanopsis/Lithocarpus,castanopsis_lithocarpus,Castanea-type
Castanopsis+Castanea,castanopsis_plus_castanea,Castanea-type
Castanopsis+Lithocarpus,castanopsis_plus_lithocarpus,Castanea-type
Catalpa,catalpa,Bignoniaceae
Cedrus,cedrus,Cedrus
Celastraceae,celastraceae,Celastraceae
Celastrus,celastrus,Celastraceae
Celtis,celtis,Celtis-type
Celtis australis,celtis_australis,Celtis-type
Celtis/Aphananthe,celtis_aphananthe,Celtis-type
Centaurea,centaurea,Centaurea
Centaurea cyanus-type,centaurea_cyanus_type,Centaurea
Centaurea depressa-type,centaurea_depressa_type,Centaurea
Centaurea jacea-type,centaurea_jacea_type,Centaurea
Centaurea montana,centaurea_montana,Centaurea
Centaurea montana-type,centaurea_montana_type,Centaurea
Centaurea nigra-type,centaurea_nigra_type,Centaurea
Centaurea scabiosa,centaurea_scabiosa,Centaurea
Centratherum.reticulatum,centratherum_reticulatum,Asteraceae Carduoideae
Cerastium-type,cerastium_type,Caryophyllaceae
Cerastium arvense-type,cerastium_arvense_type,Caryophyllaceae
Cerastium cerastoides-type,cerastium_cerastoides_type,Caryophyllaceae
Ceratoides,ceratoides,Amaranthaceae/Chenopodiaceae
Ceratopteris,ceratopteris,delete
Cercidiphyllum,cercidiphyllum,Cercidiphyllum
Cercophora-type,cercophora_type,delete
Cerealia,cerealia,Cerealia
Cerealia-type,cerealia_type,Cerealia
Cerinthe,cerinthe,Boraginaceae
cf Buxus,cf_buxus,Buxus
cf Celtis,cf_celtis,Celtis-type
cf. Boraginaceae undiff.,cf_boraginaceae_undiff,Boraginaceae
cf. Cornus suecica-type,cf_cornus_suecica_type,Cornus
cf. Fabaceae undiff.,cf_fabaceae_undiff,Fabaceae
cf. Gentianaceae undiff.,cf_gentianaceae_undiff,Gentianaceae
cf. Geum,cf_geum,Geum-type
cf. Hypericum elodes,cf_hypericum_elodes,Guttiferae
cf. Lemna,cf_lemna,delete
cf. Liliaceae undiff.,cf_liliaceae_undiff,Liliaceae s. l.
cf. Melampyrum|clump|pollen|NISP,cf_melampyrum_clump_pollen_nisp,Melampyrum
cf. Melampyrum|NA|pollen|NISP,cf_melampyrum_na_pollen_nisp,Melampyrum
cf. Nyssa,cf_nyssa,Nyssaceae
cf. Ononis-type,cf_ononis_type,Fabaceae
cf. Pistacia,cf_pistacia,Pistacia
cf. Saxifraga oppositifolia-type,cf_saxifraga_oppositifolia_type,Saxifragaceae
cf. Saxifraga stellaris-type,cf_saxifraga_stellaris_type,Saxifragaceae
cf. Taxus,cf_taxus,Taxus
cf. Trapa natans,cf_trapa_natans,delete
Chaerophyllum hirsutum-type,chaerophyllum_hirsutum_type,Apiaceae undifferentiated
Charcoal,charcoal,delete
Cheae......clumps.,cheae_clumps,Amaranthaceae/Chenopodiaceae
Cheilanthes undifferentiated,cheilanthes_undifferentiated,delete
Cheilanthes vellea-type,cheilanthes_vellea_type,delete
Chelidonium,chelidonium,Papaveraceae
Chenopodiaceae,chenopodiaceae,Amaranthaceae/Chenopodiaceae
Chenopodiaceae ü. 18,chenopodiaceae_u_18,Amaranthaceae/Chenopodiaceae
Chenopodiaceae u. 35,chenopodiaceae_u_35,Amaranthaceae/Chenopodiaceae
Chenopodiaceae ü. 35,chenopodiaceae_u_35_2,Amaranthaceae/Chenopodiaceae
Chenopodiaceae undifferentiated,chenopodiaceae_undifferentiated,Amaranthaceae/Chenopodiaceae
Chenopodiaceae(2),chenopodiaceae_2,Amaranthaceae/Chenopodiaceae
Chenopodiaceae(3),chenopodiaceae_3,Amaranthaceae/Chenopodiaceae
Chenopodiaceae.Amaranthaceae,chenopodiaceae_amaranthaceae,Amaranthaceae/Chenopodiaceae
Chenopodiaceae_u.18,chenopodiaceae_u_18_2,Amaranthaceae/Chenopodiaceae
Chenopodium,chenopodium,Amaranthaceae/Chenopodiaceae
Chionanthus,chionanthus,Oleaceae
Chironomidae,chironomidae,delete
Chitinous claws,chitinous_claws,delete
Chitinous extremities,chitinous_extremities,delete
Chitinous filtering plates,chitinous_filtering_plates,delete
Chitinous fragments,chitinous_fragments,delete
Chitinous hairs,chitinous_hairs,delete
Chrysophyllum,chrysophyllum,Sapotaceae
Cibotium,cibotium,delete
Cicer,cicer,Fabaceae
Cichorioidae,cichorioidae,Asteraceae Cichorioideae
Cichorioideae,cichorioideae,Asteraceae Cichorioideae
Cicuta virosa,cicuta_virosa,Apiaceae undifferentiated
Cicuta virosa-type,cicuta_virosa_type,Apiaceae undifferentiated
Cimicifuga,cimicifuga,Ranunculaceae
