raw_name,taxon_name,level_1
Abies,abies,Abies
Abies sibirica,abies_sibirica,Abies
Acer,acer,Acer
Aconitum,aconitum,Ranunculaceae
Actaea,actaea,Ranunculaceae
Alchemilla,alchemilla,Alchemilla
Algae,algae,delete
Alisma,alisma,delete
Alisma plantago-aquatica,alisma_plantago_minus_aquatica,delete
Alismataceae,alismataceae,delete
Allium,allium,Liliaceae
Aln......Type.1.,aln_type_1,Alnus undifferentiated
Aln......Type.2.,aln_type_2,Alnus undifferentiated
Alnus,alnus,Alnus undifferentiated
Alnus fruticosa,alnus_fruticosa,"Alnus, shrub"
Alnus glutinosa,alnus_glutinosa,"Alnus, tree"
Alnus hirsuta,alnus_hirsuta,"Alnus, tree"
Alnus hirsuta-type,alnus_hirsuta_type,"Alnus, tree"
Alnus incana,alnus_incana,"Alnus, tree"
Alnus subg. Alnobetula,alnus_subg_alnobetula,Alnus undifferentiated
Alnus undiff.,alnus_undiff,Alnus undifferentiated
Alnus undifferentiated,alnus_undifferentiated,Alnus undifferentiated
Alnus viridis,alnus_viridis,"Alnus, shrub"
Alnus viridis ssp. fruticosa,alnus_viridis_ssp_fruticosa,"Alnus, shrub"
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa,"Alnus, shrub"
Alnus viridis subsp. fruticosa-type,alnus_viridis_subsp_fruticosa_type,"Alnus, shrub"
"Alnus, shrub",alnus_shrub,"Alnus, shrub"
"Alnus, tree",alnus_tree,"Alnus, tree"
Amaranthaceae,amaranthaceae,Amaranthaceae/Chenopodiaceae
Ambrosia,ambrosia,Ambrosia/Xanthium
Andromeda,andromeda,Ericaceae
Androsace,androsace,Primulaceae
Androsaceae,androsaceae,Primulaceae
Anemone,anemone,Ranunculaceae
Anemone sect. Hepatica,anemone_sect_hepatica,Ranunculaceae
Anemone sect. Pulsatilla-type,anemone_sect_pulsatilla_type,Ranunculaceae
Angelica sylvestris,angelica_sylvestris,Angelica sylvestris
Angiospermae undiff. (herbs),angiospermae_undiff_herbs,delete
Anthemis,anthemis,Asteraceae Asteroideae
Anthemis-type,anthemis_type,Asteraceae Asteroideae
Anthoceros,anthoceros,delete
Apiaceae,apiaceae,Apiaceae
Aquifoliaceae,aquifoliaceae,Aquifoliaceae
Aquilegia undiff.,aquilegia_undiff,Ranunculaceae
Araliaceae,araliaceae,Araliaceae
Arctostaphylos,arctostaphylos,Ericaceae
Arenaria-type,arenaria_type,Caryophyllaceae
Artemisia,artemisia,Artemisia
Aster,aster,Asteraceae Asteroideae
Aster-type,aster_type,Asteraceae Asteroideae
Asteraceae,asteraceae,Asteraceae undifferentiated
Asteraceae (Asteroideae),asteraceae_asteroideae,Asteraceae Asteroideae
Asteraceae (undiff.),asteraceae_undiff,Asteraceae undifferentiated
Asteraceae Cichorioideae,asteraceae_cichorioideae,Asteraceae Cichorioideae
Asteroideae,asteroideae,Asteraceae Asteroideae
Asteroideae undiff.,asteroideae_undiff,Asteraceae Asteroideae
Astragalus-type,astragalus_type,"Fabaceae, shrub"
