raw_name,taxon_name,level_1
Abutilon,abutilon,Abutilon
Acacia,acacia,Acacia
Acacia-type,acacia_type,Acacia
Acaena,acaena,Acaena
Acaena/Rubus,acaena_rubus,Rosaceae
Acalypha,acalypha,Acalypha
Acalypha-type,acalypha_type,Acalypha
Acanthaceae,acanthaceae,Acanthaceae
Acanthaceae type,acanthaceae_type,Acanthaceae
Acanthus,acanthus,Acanthus
Aciphylla,aciphylla,Aciphylla
Aciphylla-type,aciphylla_type,Aciphylla
Acmena,acmena,Acmena
Acmena smithii type,acmena_smithii_type,Acmena
Acradenia franklinii type,acradenia_franklinii_type,Acradenia
Acronychia,acronychia,Acronychia
Acronychia comp.,acronychia_comp,Acronychia
Acronychia/Sterculiaceae,acronychia_sterculiaceae,Acronychia/Malvaceae-type
Acrostichum,acrostichum,Acrostichum
Acrotriche,acrotriche,Acrotriche
Actinotus,actinotus,Actinotus
Adenanthos,adenanthos,Adenanthos
Adiantum,adiantum,Adiantum
Adiantum type,adiantum_type,Adiantum
Adriana,adriana,Adriana
Adriana cf hookeri,adriana_cf_hookeri,Adriana
Adriana cf klotzschii,adriana_cf_klotzschii,Adriana
Aegiceras,aegiceras,Aegiceras
Agastachys,agastachys,Agastachys
Agastachys odorata,agastachys_odorata,Agastachys
Agathis,agathis,Agathis
Agathis robusta,agathis_robusta,Agathis robusta-type
Agathis robusta type,agathis_robusta_type,Agathis robusta-type
age_kyr,age_kyr,delete
Aglaia,aglaia,Aglaia
Aglaia type,aglaia_type,Aglaia
Agonis,agonis,Agonis
Aizoaceae,aizoaceae,Aizoaceae
Alangiaceae _Alangium,alangiaceae_alangium,Alangium
Alangium,alangium,Alangium
Albizia,albizia,Albizia
Albizia-type,albizia_type,Albizia
Alectryon,alectryon,Alectryon
Alepis,alepis,Alepis
Aleurites,aleurites,Aleurites
Allocasuarina,allocasuarina,Allocasuarina
Allocasuarina/Casuarina,allocasuarina_casuarina,Casuarinaceae
Alnus,alnus,Alnus
Alphitonia,alphitonia,Alphitonia
Alpine herbs,alpine_herbs,delete
alpine taxa,alpine_taxa,delete
Alsophila,alsophila,Alsophila
Alternanthera,alternanthera,Alternanthera
Alyxia,alyxia,Alyxia
Amaranthaceae,amaranthaceae,Amaranthaceae
Amaranthaceae (<20 µm),amaranthaceae_smaller_than_20_mu_m,Amaranthaceae
Amaranthaceae (>20 µm),amaranthaceae_bigger_than_20_mu_m,Amaranthaceae
Amaranthaceae (Chenopodiaceae),amaranthaceae_chenopodiaceae,Amaranthaceae
Amaranthaceae sensu stricto,amaranthaceae_sensu_stricto,Amaranthaceae
Amperea,amperea,Amperea
Amperea xiphoclada,amperea_xiphoclada,Amperea
Amperea/Poranthera,amperea_poranthera,Amperea/Poranthera-type
Amyema,amyema,Amyema
Anacardiaceae _Campnosperma _sim,anacardiaceae_campnosperma_sim,Campnosperma
Anacardiaceae _Melanorrhoea _comp,anacardiaceae_melanorrhoea_comp,Melanorrhoea
Anacardiaceae type,anacardiaceae_type,Anacardiaceae
Anemone,anemone,Anemone
Angophora,angophora,Angophora
Angophora-type,angophora_type,Angophora
Angophora costata,angophora_costata,Angophora
Angophora floribunda,angophora_floribunda,Angophora
Angophora/bloodwood,angophora_bloodwood,Myrtaceae
Anguillaria type,anguillaria_type,Wurmbea
Anisophyllaceae _Combretocarpus _sim.,anisophyllaceae_combretocarpus_sim,Combretocarpus
Anisophyllaceae 4-colporate,anisophyllaceae_4_minus_colporate,Anisophyllaceae
Anisophyllaceae/Rhizophoraceae _Combretocarpus,anisophyllaceae_rhizophoraceae_combretocarpus,Anisophyllaceae/Rhizophoraceae-type
Anisotome type,anisotome_type,Anisotome
Annonaceae,annonaceae,Annonaceae
Annonaceae type,annonaceae_type,Annonaceae
Anodopetalum/Eucryphia,anodopetalum_eucryphia,Cunoniaceae
Anodopetalum/Eucryphia type,anodopetalum_eucryphia_type,Cunoniaceae
Anopterus,anopterus,Anopterus
Anopterus glandulosus,anopterus_glandulosus,Anopterus
Anthoceros,anthoceros,Anthoceros
Anthocerotae,anthocerotae,Anthocerotophyta
Anthocerotales,anthocerotales,Anthocerotales
Antirhea,antirhea,Antirhea
Apiaceae,apiaceae,Apiaceae
Apiaceae undiff,apiaceae_undiff,Apiaceae
Apium,apium,Apium
Apocynaceae,apocynaceae,Apocynaceae
Apocynaceae type,apocynaceae_type,Apocynaceae
Apodytes clusiifolia,apodytes_clusiifolia,Apodytes
aquatics,aquatics,delete
Aquifoliaceae _Ilex,aquifoliaceae_ilex,Ilex
Araceae,araceae,Araceae
Araliaceae,araliaceae,Araliaceae
Araliaceae-type,araliaceae_type,Araliaceae
Araliaceae _Schefflera _sim,araliaceae_schefflera_sim,Schefflera
Araliaceae undiff.,araliaceae_undiff,Araliaceae
Araliaceae/Rutaceae,araliaceae_rutaceae,Araliaceae/Rutaceae-type
Araucaria,araucaria,Araucaria
Araucaria cunninghamii,araucaria_cunninghamii,Araucaria
Araucariaceae,araucariaceae,Araucariaceae
Archeria,archeria,Archeria
Ardisia,ardisia,Ardisia
Arecaceae,arecaceae,Arecaceae
Arecaceae _Calamus,arecaceae_calamus,Calamus
Arecaceae _Cyrtosperma,arecaceae_cyrtosperma,Cyrtosperma
Arecaceae _Cyrtostachys,arecaceae_cyrtostachys,Cyrtostachys
Arecaceae _Oncosperma,arecaceae_oncosperma,Oncosperma
Arecaceae _Oncosperma _type,arecaceae_oncosperma_type,Oncosperma
Arecaceae incertae sedis,arecaceae_incertae_sedis,Arecaceae
Arecaceae undiff,arecaceae_undiff,Arecaceae
Argyrodendron,argyrodendron,Argyrodendron
Aristolochia type,aristolochia_type,Aristolochia
Aristotelia,aristotelia,Aristotelia
Arthropodium type,arthropodium_type,Arthropodium
Arytera,arytera,Arytera
Ascarina,ascarina,Ascarina
Ascarina lucida,ascarina_lucida,Ascarina
Asclepidiaceae _Dischidia,asclepidiaceae_dischidia,Dischidia
Asperula,asperula,Asperula
Asperula/Galium,asperula_galium,Rubiaceae
Asphodeloideae,asphodeloideae,Asphodeloideae
Asplenium,asplenium,Asplenium
Asplenium-type,asplenium_type,Asplenium
Astelia,astelia,Astelia
Astelia alpina,astelia_alpina,Astelia
Astelia papuana,astelia_papuana,Astelia
Astelia type,astelia_type,Astelia
Asteraceae,asteraceae,Asteraceae
Asteraceae (Liguliflorae),asteraceae_liguliflorae,Cichorioideae
Asteraceae (spineless),asteraceae_spineless,Asteroideae
Asteraceae (Tubuliflorae),asteraceae_tubuliflorae,Asteroideae
Asteraceae (type 1),asteraceae_type_1,Asteraceae
Asteraceae (type 2),asteraceae_type_2,Asteraceae
Asteraceae (undiff.),asteraceae_undiff,Asteraceae
