raw_name,taxon_name,level_1
# Tablet,number_tablet,delete
(looks like pollen type) Type 11,looks_like_pollen_type_type_11,delete
(looks like pollen type) Type 143,looks_like_pollen_type_type_143,delete
(looks like pollen type) Type 144,looks_like_pollen_type_type_144,delete
(looks like pollen type) Type 149,looks_like_pollen_type_type_149,delete
(looks like pollen type) Type 150,looks_like_pollen_type_type_150,delete
(looks like pollen type) Type 151,looks_like_pollen_type_type_151,delete
(looks like pollen type) Type 152,looks_like_pollen_type_type_152,delete
(looks like pollen type) Type 154,looks_like_pollen_type_type_154,delete
(looks like pollen type) Type 155,looks_like_pollen_type_type_155,delete
(looks like pollen type) Type 156,looks_like_pollen_type_type_156,delete
(looks like pollen type) Type 157,looks_like_pollen_type_type_157,delete
(looks like pollen type) Type 198,looks_like_pollen_type_type_198,delete
(looks like pollen type) Type 202,looks_like_pollen_type_type_202,delete
(looks like pollen type) Type 218,looks_like_pollen_type_type_218,delete
(looks like pollen type) Type 232,looks_like_pollen_type_type_232,delete
(looks like pollen type) Type 35,looks_like_pollen_type_type_35,delete
(looks like pollen type) Type 41,looks_like_pollen_type_type_41,delete
(looks like pollen type) Type 43,looks_like_pollen_type_type_43,delete
(looks like pollen type) Type 46,looks_like_pollen_type_type_46,delete
~Hymenphyllum (H-242),hymenphyllum_h_minus_242,delete
1C (psil.),x1c_psil,delete
1C (ret.),x1c_ret,delete
3-Pore Urt,x3_minus_pore_urt,delete
3C (psil.),x3c_psil,delete
3Cp (others),x3cp_others,delete
3F3P,x3f3p,delete
Abatia,abatia,Abatia
Abies,abies,Abies
Abuta,abuta,Abuta
Abuta racemosa,abuta_racemosa,Abuta
Abuta/Cissampelos,abuta_cissampelos,Abuta
Abutilon,abutilon,Abutilon
Abutilon/Malvastrum-type,abutilon_malvastrum_type,Abutilon
Acacia,acacia,Acacia
Acacia-type,acacia_type,Acacia
Acacia-Type,acacia_minus_type,Acacia
Acacia sp,acacia_sp,Acacia
Acaena,acaena,Polylepis-Acaena
Acaena-type,acaena_type,Polylepis-Acaena
Acaena (blocky),acaena_blocky,Polylepis-Acaena
Acaena masafuerana,acaena_masafuerana,Polylepis-Acaena
Acaena/Polylepis,acaena_polylepis,Polylepis-Acaena
AcaenaPo,acaena_po,Polylepis-Acaena
Acalypha,acalypha,Acalypha-type
Acalypha-type (P4 large),acalypha_type_p4_large,Acalypha-type
Acalypha - Euphorbiaceae,acalypha_minus_euphorbiaceae,Acalypha-type
Acalypha (diporate),acalypha_diporate,Acalypha-type
Acalypha (Euphorbiaceae),acalypha_euphorbiaceae,Acalypha-type
Acalypha (large),acalypha_large,Acalypha-type
Acalypha (P3),acalypha_p3,Acalypha-type
Acalypha (P5),acalypha_p5,Acalypha-type
Acalypha (pentaporate),acalypha_pentaporate,Acalypha-type
Acalypha (tetraporate),acalypha_tetraporate,Acalypha-type
Acalypha (triporate),acalypha_triporate,Acalypha-type
Acalypha (type 2),acalypha_type_2,Acalypha-type
Acalypha (type I),acalypha_type_i,Acalypha-type
Acalypha 4P,acalypha_4p,Acalypha-type
Acalypha sp. form1,acalypha_sp_form1,Acalypha-type
Acalypha undiff.,acalypha_undiff,Acalypha-type
Acantaceae,acantaceae,Acanthaceae
Acanthaceae,acanthaceae,Acanthaceae
