raw_name,taxon_name,level_1
Abies,abies,Abies
Abies balsamea,abies_balsamea,Abies
Abies lasiocarpa,abies_lasiocarpa,Abies
Abies sp.,abies_sp,Abies
Abronia,abronia,Abronia
Acacia,acacia,Acacia
Acacia-type,acacia_type,Acacia
Acalypha,acalypha,Acalypha
Acalypha-type,acalypha_type,Acalypha
Acer,acer,Acer
Acer-type,acer_type,Acer
Acer cf. A. glabrum,acer_cf_a_glabrum,Acer
Acer cf. A. negundo,acer_cf_a_negundo,Acer
Acer cf. A. pensylvanicum,acer_cf_a_pensylvanicum,Acer
Acer circinatum,acer_circinatum,Acer
Acer circinatum-type,acer_circinatum_type,Acer
Acer glabrum,acer_glabrum,Acer
Acer macrophyllum,acer_macrophyllum,Acer
Acer macrophyllum-type,acer_macrophyllum_type,Acer
Acer negundo,acer_negundo,Acer
Acer negundo-type,acer_negundo_type,Acer
Acer nigrum,acer_nigrum,Acer
Acer pensylvanicum,acer_pensylvanicum,Acer
Acer rubrum,acer_rubrum,Acer
Acer rubrum-type,acer_rubrum_type,Acer
Acer saccharinum,acer_saccharinum,Acer
Acer saccharinum-type,acer_saccharinum_type,Acer
Acer saccharum,acer_saccharum,Acer
Acer saccharum-type,acer_saccharum_type,Acer
Acer saccharum/A. nigrum,acer_saccharum_a_nigrum,Acer
Acer sp.,acer_sp,Acer
Acer spicatum,acer_spicatum,Acer
Acer spicatum-type,acer_spicatum_type,Acer
Acer undiff.,acer_undiff,Acer
Achillea,achillea,Asteraceae:Asteroideae
Achillea-type,achillea_type,Asteraceae:Asteroideae
Aconitum,aconitum,Ranunculaceae undiff.
Actaea,actaea,Ranunculaceae undiff.
Actaea-type,actaea_type,Ranunculaceae undiff.
Actaea rubra,actaea_rubra,Ranunculaceae undiff.
Adenostoma fasciculatum,adenostoma_fasciculatum,Asteraceae:Asteroideae
Adenostoma sparsifolium,adenostoma_sparsifolium,Asteraceae:Asteroideae
Aesculus,aesculus,Aesculus
Agastache,agastache,Lamiaceae
Agastache-type,agastache_type,Lamiaceae
Agave,agave,Agave
Agoseris-type,agoseris_type,Asteraceae:Asteroideae
Agoseris glauca-type,agoseris_glauca_type,Asteraceae:Asteroideae
Agrimonia,agrimonia,Rosaceae
Allenrolfea occidentalis,allenrolfea_occidentalis,Allenrolfea occidentalis
Allionia,allionia,Allionia
Allium,allium,Liliaceae-type
Allium-type,allium_type,Liliaceae-type
Alnus,alnus,Alnus
Alnus (hexaporate),alnus_hexaporate,Alnus
Alnus (pentaporate),alnus_pentaporate,Alnus
Alnus (tetraporate),alnus_tetraporate,Alnus
Alnus (triporate),alnus_triporate,Alnus
Alnus cf. A. incana,alnus_cf_a_incana,Alnus
Alnus cf. A. viridis,alnus_cf_a_viridis,Alnus
Alnus incana,alnus_incana,Alnus
Alnus incana-type,alnus_incana_type,Alnus
Alnus rhombifolia-type,alnus_rhombifolia_type,Alnus
Alnus rubra,alnus_rubra,Alnus
Alnus rubra-type,alnus_rubra_type,Alnus
Alnus undiff.,alnus_undiff,Alnus
Alnus viridis,alnus_viridis,Alnus
Alnus viridis-type,alnus_viridis_type,Alnus
Alnus viridis subsp. crispa,alnus_viridis_subsp_crispa,Alnus
Alnus viridis subsp. crispa-type,alnus_viridis_subsp_crispa_type,Alnus
Alnus viridis subsp. sinuata,alnus_viridis_subsp_sinuata,Alnus
Alnus viridis subsp. sinuata-type,alnus_viridis_subsp_sinuata_type,Alnus
Alternanthera,alternanthera,Alternanthera
Amaranthaceae,amaranthaceae,Amaranthaceae
Amaranthaceae undiff.,amaranthaceae_undiff,Amaranthaceae
Amaranthus,amaranthus,Amaranthaceae
Ambrosia,ambrosia,Ambrosia-type
Ambrosia-type,ambrosia_type,Ambrosia-type
Ambrosia/Iva,ambrosia_iva,Iva-type
Ambrosia/Iva annua,ambrosia_iva_annua,Iva-type
Amelanchier,amelanchier,Rosaceae
Amelanchier-type,amelanchier_type,Rosaceae
Amorpha,amorpha,Fabaceae
Amorpha-type,amorpha_type,Fabaceae
Anacardiaceae,anacardiaceae,Anacardiaceae
Anacardiaceae-type undiff.,anacardiaceae_type_undiff,Anacardiaceae
Anacardiaceae undiff.,anacardiaceae_undiff,Anacardiaceae
Andromeda,andromeda,Ericaceae
Andromeda polifolia,andromeda_polifolia,Andromeda Polifolia
Andromeda polifolia var. latifolia,andromeda_polifolia_var_latifolia,Andromeda Polifolia
Androsace,androsace,Primulaceae
Anemone,anemone,Ranunculaceae undiff.
Anemone-type,anemone_type,Ranunculaceae undiff.
Anemone canadensis-type,anemone_canadensis_type,Ranunculaceae undiff.
Anemone patens,anemone_patens,Ranunculaceae undiff.
Anemone quinquefolia-type,anemone_quinquefolia_type,Ranunculaceae undiff.
Anemone sect. Hepatica,anemone_sect_hepatica,Ranunculaceae undiff.
Anemone sect. Pulsatilla,anemone_sect_pulsatilla,Ranunculaceae undiff.
Angelica-type,angelica_type,Apiaceae
Angiospermae undiff. (hardwood trees),angiospermae_undiff_hardwood_trees,Taxon aggregates
Angiospermae undiff. (herbs),angiospermae_undiff_herbs,Taxon aggregates
Angiospermae undiff. (upland herbs),angiospermae_undiff_upland_herbs,Taxon aggregates
Anthemis,anthemis,Asteraceae:Asteroideae
Anthemis-type,anthemis_type,Asteraceae:Asteroideae
Apiaceae,apiaceae,Apiaceae
Apiaceae (apiculate),apiaceae_apiculate,Apiaceae
Apiaceae (coarse reticulate),apiaceae_coarse_reticulate,Apiaceae
Apiaceae (large),apiaceae_large,Apiaceae
"Apiaceae (medium, slender)",apiaceae_medium_slender,Apiaceae
Apiaceae (small),apiaceae_small,Apiaceae
Apiaceae undiff,apiaceae_undiff,Apiaceae
Apocynaceae,apocynaceae,Apocynaceae
Apocynum,apocynum,Apocynaceae
Aquifoliaceae,aquifoliaceae,Aquifoliaceae
Aquilegia,aquilegia,Ranunculus-type
Arabis,arabis,Brassicaceae
Araceae,araceae,Araceae
Araceae-type,araceae_type,Araceae
Aralia,aralia,Araliaceae
Aralia hispida,aralia_hispida,Aralia Hispida
Araliaceae,araliaceae,Araliaceae
Arceuthobium,arceuthobium,Arceuthobium
Arceuthobium americanum,arceuthobium_americanum,Arceuthobium
Arceuthobium pusillum,arceuthobium_pusillum,Arceuthobium
Arceuthobium/Loranthaceae,arceuthobium_loranthaceae,Arceuthobium
Arctostaphylos,arctostaphylos,Ericaceae
Arctostaphylos uva-ursi,arctostaphylos_uva_minus_ursi,Ericaceae
Arctous alpina/A. rubra,arctous_alpina_a_rubra,Ericaceae
